WijkBuurt;Regio;SoortRegio;RegioCode;Drank;Obesitas;Roker;LichGez;PsychGez;Eenzaam;GoedGez;SportBew;Mantelzorg
Middenmeer;Amsterdam;Wijk;WK036356;30;9;26;29;6;10;81;60;11
Linnaeusparkbuurt;Amsterdam;Buurt;BU03635600;27;8;25;31;5;8;81;59;12
Middenmeer Noord;Amsterdam;Buurt;BU03635601;29;9;25;31;6;8;80;59;12
Middenmeer Zuid;Amsterdam;Buurt;BU03635602;30;9;25;30;5;8;81;57;11
Sportpark Middenmeer Zuid;Amsterdam;Buurt;BU03635603;39;11;17;41;5;9;70;45;14
Sportpark Middenmeer Noord;Amsterdam;Buurt;BU03635604;.;.;.;.;.;.;.;.;.
Park de Meer;Amsterdam;Buurt;BU03635605;40;11;21;34;6;9;77;55;14
Sportpark Voorland;Amsterdam;Buurt;BU03635606;.;.;.;.;.;.;.;.;.
Science Park Noord;Amsterdam;Buurt;BU03635607;27;5;34;20;9;15;86;68;5
Science Park Zuid;Amsterdam;Buurt;BU03635608;37;13;32;29;8;19;77;49;10
Betondorp;Amsterdam;Wijk;WK036357;46;15;27;43;10;15;65;46;11
Betondorp;Amsterdam;Buurt;BU03635700;46;15;27;43;10;15;65;46;11
Nieuwe Oosterbegraafplaats;Amsterdam;Buurt;BU03635701;.;.;.;.;.;.;.;.;.
Drieburg;Amsterdam;Buurt;BU03635702;.;.;.;.;.;.;.;.;.
Omval/Overamstel;Amsterdam;Wijk;WK036358;28;6;31;23;10;14;84;66;6
Weespertrekvaart;Amsterdam;Buurt;BU03635801;32;6;35;23;14;18;81;67;4
Amstelglorie;Amsterdam;Buurt;BU03635804;31;10;21;29;4;9;84;59;14
Overamstel;Amsterdam;Buurt;BU03635805;39;13;36;40;21;14;65;54;10
Amstelkwartier Noord;Amsterdam;Buurt;BU03635806;26;6;31;22;8;12;86;67;6
De Omval;Amsterdam;Buurt;BU03635807;26;6;23;27;4;8;85;64;10
Amstelkwartier Zuid;Amsterdam;Buurt;BU03635808;31;8;21;30;6;10;81;58;12
Amstelkwartier West;Amsterdam;Buurt;BU03635809;27;5;34;19;12;17;86;68;4
Prinses Irenebuurt e.o.;Amsterdam;Wijk;WK036359;33;7;17;31;3;7;83;60;12
Prinses Irenebuurt;Amsterdam;Buurt;BU03635900;33;7;17;31;3;7;83;60;12
Beatrixpark;Amsterdam;Buurt;BU03635901;.;.;.;.;.;.;.;.;.
Volewijck;Amsterdam;Wijk;WK036360;51;18;31;38;12;17;66;52;10
Van der Pekbuurt;Amsterdam;Buurt;BU03636000;53;17;32;37;13;18;67;54;9
Bloemenbuurt Zuid;Amsterdam;Buurt;BU03636001;51;19;31;41;12;17;63;50;10
Bloemenbuurt Noord;Amsterdam;Buurt;BU03636002;45;19;30;40;10;14;68;50;12
IJplein/Vogelbuurt;Amsterdam;Wijk;WK036361;51;17;30;37;12;17;68;54;9
IJplein e.o.;Amsterdam;Buurt;BU03636100;50;17;29;39;12;17;67;54;10
Vogelbuurt Zuid;Amsterdam;Buurt;BU03636101;52;18;30;37;12;17;67;55;9
Vogelbuurt Noord;Amsterdam;Buurt;BU03636102;48;17;31;37;12;17;68;53;9
Vliegenbos;Amsterdam;Buurt;BU03636103;33;10;23;26;5;9;85;61;11
Tuindorp Nieuwendam;Amsterdam;Wijk;WK036362;43;19;26;42;9;13;67;49;13
Tuindorp Nieuwendam West;Amsterdam;Buurt;BU03636200;43;19;26;44;9;12;66;47;14
Tuindorp Nieuwendam Oost;Amsterdam;Buurt;BU03636201;43;18;26;41;9;13;67;49;13
Tuindorp Buiksloot;Amsterdam;Wijk;WK036363;45;19;29;41;9;14;66;50;13
Blauwe Zand;Amsterdam;Buurt;BU03636300;45;19;29;41;9;14;66;50;13
Nieuwendammerdijk/Buiksloterdijk;Amsterdam;Wijk;WK036364;33;10;18;30;3;6;84;60;15
Buiksloterdijk West;Amsterdam;Buurt;BU03636400;33;11;17;32;4;6;83;58;17
Buiksloterdijk Oost;Amsterdam;Buurt;BU03636401;39;8;14;34;4;6;80;56;18
Nieuwendammmerdijk West;Amsterdam;Buurt;BU03636402;32;10;18;29;3;6;84;60;15
Nieuwendammerdijk Oost;Amsterdam;Buurt;BU03636403;31;9;18;28;3;6;85;61;14
Nieuwendammerdijk Zuid;Amsterdam;Buurt;BU03636404;.;.;.;.;.;.;.;.;.
Tuindorp Oostzaan;Amsterdam;Wijk;WK036365;47;18;27;39;10;14;67;48;12
Tuindorp Oostzaan West;Amsterdam;Buurt;BU03636500;49;19;23;44;10;13;60;41;12
Tuindorp Oostzaan Oost;Amsterdam;Buurt;BU03636501;45;19;28;40;9;12;67;48;12
Terrasdorp;Amsterdam;Buurt;BU03636502;49;18;28;41;11;16;65;47;12
De Bongerd;Amsterdam;Buurt;BU03636503;47;14;23;28;8;11;79;56;10
Oostzanerwerf;Amsterdam;Wijk;WK036366;45;16;25;35;8;12;72;49;12
Oostzanerdijk;Amsterdam;Buurt;BU03636601;34;13;23;33;5;9;79;53;14
Walvisbuurt;Amsterdam;Buurt;BU03636602;43;15;24;32;6;10;77;53;13
Twiske West;Amsterdam;Buurt;BU03636603;39;14;21;33;6;9;78;53;14
Noorder IJplas;Amsterdam;Buurt;BU03636604;29;14;21;34;5;7;78;51;18
Molenwijk;Amsterdam;Buurt;BU03636605;56;19;28;41;11;17;62;43;10
Circus/Kermisbuurt;Amsterdam;Buurt;BU03636606;42;16;27;33;8;12;75;51;11
Kadoelen;Amsterdam;Wijk;WK036367;40;15;21;34;6;10;76;52;14
Kadoelen;Amsterdam;Buurt;BU03636700;38;14;20;33;6;9;77;52;14
Twiske Oost;Amsterdam;Buurt;BU03636701;42;17;22;35;7;10;75;52;15
Waterlandpleinbuurt;Amsterdam;Wijk;WK036368;58;19;27;36;11;16;69;50;10
Baanakkerspark Noord;Amsterdam;Buurt;BU03636800;41;14;24;35;6;12;76;50;12
Baanakkerspark Zuid;Amsterdam;Buurt;BU03636801;37;13;23;36;5;11;77;53;14
Werengouw Midden;Amsterdam;Buurt;BU03636802;56;20;29;37;11;17;67;49;10
Markengouw Midden;Amsterdam;Buurt;BU03636803;64;20;28;34;13;17;68;50;10
Markengouw Zuid;Amsterdam;Buurt;BU03636804;62;20;27;33;12;18;69;50;10
Werengouw Zuid;Amsterdam;Buurt;BU03636805;59;19;24;36;11;16;68;51;12
Buikslotermeer;Amsterdam;Wijk;WK036369;53;18;27;39;11;16;66;46;10
Rode Kruisbuurt;Amsterdam;Buurt;BU03636900;40;12;21;37;6;9;77;56;16
Loenermark;Amsterdam;Buurt;BU03636902;50;18;26;41;9;15;65;45;10
Buikslotermeerplein;Amsterdam;Buurt;BU03636909;53;17;24;43;10;15;62;39;9
Plan van Gool;Amsterdam;Buurt;BU03636910;53;18;29;37;11;17;67;50;10
De Kleine Wereld;Amsterdam;Buurt;BU03636911;63;22;29;42;13;19;60;41;11
Buikslotermeer Noord;Amsterdam;Buurt;BU03636912;45;14;26;36;9;15;72;48;10
Banne Buiksloot;Amsterdam;Wijk;WK036370;56;19;27;38;11;16;67;47;11
Banne Zuidwest;Amsterdam;Buurt;BU03637000;61;20;27;39;13;17;64;45;10
Banne Zuidoost;Amsterdam;Buurt;BU03637001;50;17;27;37;10;15;69;48;11
Banne Noordwest;Amsterdam;Buurt;BU03637002;60;21;29;38;12;18;65;46;10
Banne Noordoost;Amsterdam;Buurt;BU03637003;57;20;26;39;11;16;66;46;12
Buiksloterbreek;Amsterdam;Buurt;BU03637004;34;11;18;30;3;7;83;58;15
Marjoleinterrein;Amsterdam;Buurt;BU03637005;47;15;28;29;9;14;76;56;9
Noordelijke IJ-oevers West;Amsterdam;Wijk;WK036371;29;9;28;25;7;11;84;63;9
Papaverweg e.o.;Amsterdam;Buurt;BU03637102;30;10;26;25;5;9;86;60;10
Cornelis Douwesterrein;Amsterdam;Buurt;BU03637104;57;17;43;34;19;33;62;56;9
NDSM terrein;Amsterdam;Buurt;BU03637105;28;6;38;19;13;19;84;68;3
Buiksloterham;Amsterdam;Buurt;BU03637106;31;9;35;26;8;15;81;61;6
Overhoeks;Amsterdam;Buurt;BU03637107;28;9;23;29;5;8;84;61;13
Noordelijke IJ-oevers Oost;Amsterdam;Wijk;WK036372;31;9;33;28;8;14;82;62;8
Bedrijventerrein Hamerstraat;Amsterdam;Buurt;BU03637200;32;9;34;28;8;14;82;62;8
Zamenhofstraat e.o.;Amsterdam;Buurt;BU03637201;.;.;.;.;.;.;.;.;.
Bedrijventerrein Nieuwendammerdijk;Amsterdam;Buurt;BU03637202;23;9;25;29;5;7;88;60;10
Waterland;Amsterdam;Wijk;WK036373;33;11;19;31;4;6;81;52;16
Schellingwoude West;Amsterdam;Buurt;BU03637300;26;10;18;28;4;6;84;60;16
Schellingwoude Oost;Amsterdam;Buurt;BU03637301;31;11;17;28;4;6;83;57;15
Schellingwoude Noord;Amsterdam;Buurt;BU03637302;.;.;.;.;.;.;.;.;.
Durgerdam;Amsterdam;Buurt;BU03637303;33;10;18;31;4;5;81;52;17
Zwarte Gouw;Amsterdam;Buurt;BU03637304;31;7;18;36;3;14;73;56;14
Ransdorp;Amsterdam;Buurt;BU03637305;37;10;17;31;3;6;81;50;17
Holysloot;Amsterdam;Buurt;BU03637306;35;10;19;32;3;5;81;50;17
Zunderdorp;Amsterdam;Buurt;BU03637307;33;12;21;33;5;7;79;50;15
Noorderstrook West;Amsterdam;Buurt;BU03637308;30;13;27;29;7;13;81;57;13
Noorderstrook Oost;Amsterdam;Buurt;BU03637309;.;.;.;.;.;.;.;.;.
Elzenhagen;Amsterdam;Wijk;WK036374;44;12;22;28;6;10;80;54;11
Nintemanterrein;Amsterdam;Buurt;BU03637400;35;10;17;31;2;5;84;60;18
Elzenhagen Zuid;Amsterdam;Buurt;BU03637401;44;14;33;33;12;16;72;52;9
Elzenhagen Noord;Amsterdam;Buurt;BU03637402;45;12;20;28;5;9;82;54;11
Chassébuurt;Amsterdam;Wijk;WK036375;40;13;32;32;10;13;74;60;9
Kortenaerkwartier;Amsterdam;Buurt;BU03637500;37;12;31;32;9;12;76;60;9
Filips van Almondekwartier;Amsterdam;Buurt;BU03637501;31;11;31;28;8;12;79;62;7
De Wester Quartier;Amsterdam;Buurt;BU03637502;44;14;33;33;11;14;72;59;8
Van Brakelkwartier;Amsterdam;Buurt;BU03637503;48;16;31;35;12;14;69;57;9
Slotermeer-Noordoost;Amsterdam;Wijk;WK036376;62;19;31;37;13;17;66;50;9
Buurt 3;Amsterdam;Buurt;BU03637600;60;18;30;37;13;17;67;50;9
Buurt 2;Amsterdam;Buurt;BU03637601;66;20;31;37;14;18;65;50;9
Slotermeer-Zuidwest;Amsterdam;Wijk;WK036377;62;18;30;38;13;17;66;49;9
Slotermeer Zuid;Amsterdam;Buurt;BU03637700;58;18;32;39;14;19;64;49;8
